name,sub_category,image
"Lavitra Cute Front Bow Backpack for Women and Fashion Backpack for Girls, College Bag for Women",Backpacks,https://m.media-amazon.com/images/I/61viWSje60L._AC_UL320_.jpg
Bonmaro B Polka Dot Red Canvas Backpack,Backpacks,https://m.media-amazon.com/images/I/71o2AtAY24L._AC_UL320_.jpg
Aswadh Waterproof Dust Rain Cover Travel Hiking Backpack Camping Rucksack Bag Orange 80L,Backpacks,https://m.media-amazon.com/images/I/51IzYfRDp2L._AC_UL320_.jpg
Generic Polyster Light Weight Laptop Bag 30 ltrs Laptop Backpack for Upto 15.6 inch Laptop-ALB_1XR00646,Backpacks,https://m.media-amazon.com/images/I/21CGH9O1HRS._AC_UL320_.jpg
"Safari Hitech 35 Ltrs Water Resistant Backpack - Blue, L (Hitech19Cbblu)",Backpacks,https://m.media-amazon.com/images/I/71hNHEiIfYL._AC_UL320_.jpg
SPANGLE 30 Ltrs Multipurpose Laptop Backpack Navy Blue - Fits Up to 15.6-Inch Laptops for Men and Women,Backpacks,https://m.media-amazon.com/images/I/81Vlwt1PDHL._AC_UL320_.jpg
Prolite bags 30L causal bag/ laptop bags/school bag/office bag,Backpacks,https://m.media-amazon.com/images/I/81OTp828kHL._AC_UL320_.jpg
"Trillion Backpack Office/Travel/School/Collage Backpack, with rain Cover & shoe pocket 35 L Backpack (Black)",Backpacks,https://m.media-amazon.com/images/I/61zmd4chOYL._AC_UL320_.jpg
Woman Waterproof Dry Bag Rafting Kayaking Sailing Canoe Backpack 10L Rosy,Backpacks,https://m.media-amazon.com/images/I/41CnOLZJq7L._AC_UL320_.jpg
"Onlyeasy Waterproof Outdoor Ocean Pack Bag for Travelling, Camping, Hiking, Rafting, Trekking Drifting Swimming (Multicolo...",Backpacks,https://m.media-amazon.com/images/I/51ny9hamabL._AC_UL320_.jpg
Backpack for Girls | Women's Fashion Backpack,Backpacks,https://m.media-amazon.com/images/I/411tnwoVeqL._AC_UL320_.jpg
"Tripole Rain Cover for Backpack & Rucksack (Black, 75-100)",Backpacks,https://m.media-amazon.com/images/I/517YXKd-odL._AC_UL320_.jpg
SEAKING Medium 25 L Backpack Small Bags Backpack for daily use library office outdoor hiking Backpack,Backpacks,https://m.media-amazon.com/images/I/51HjvgErs4L._AC_UL320_.jpg
SKYBAGS Astro Space Theme Black School Backpack 32L,Backpacks,https://m.media-amazon.com/images/I/51Z2-FWVUYL._AC_UL320_.jpg
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,Backpacks,https://m.media-amazon.com/images/I/81KHT04JtvL._AC_UL320_.jpg
SPANGLE 30 Ltrs Multipurpose Laptop Grey Backpack - Fits Up to 15.6-Inch Laptops for Men and Women,Backpacks,https://m.media-amazon.com/images/I/71nU7lnV9SL._AC_UL320_.jpg
myaddiction Japanese Shoulder Wrist Bags Knitted Crossbody with Strap Organizer purple,Backpacks,https://m.media-amazon.com/images/I/71Ju7CXdJSL._AC_UL320_.jpg
Priceless Deals Stylish Colorful Fancy Casual Backpacks for Girls Love Cat Letter & Cat Printed | Parachute Fabric Backpac...,Backpacks,https://m.media-amazon.com/images/I/41c9IktUXAL._AC_UL320_.jpg
Singh Traders Store Black & Pink Waterproof Laptop Bag/Backpack for School/College Guys,Backpacks,https://m.media-amazon.com/images/I/51xadkZr7nL._AC_UL320_.jpg
Top boTTom 35 L Laptop Backpack for Men Women Office School College bag,Backpacks,https://m.media-amazon.com/images/I/A1KdIgS7R8L._AC_UL320_.jpg
Generic Polyster Light Weight Laptop Bag 30 ltrs Laptop Backpack for Upto 15.6 inch Laptop-ALB_1XR00647,Backpacks,https://m.media-amazon.com/images/I/211peA0EvtS._AC_UL320_.jpg
GADGETS WRAP Premium Vinyl Laptop Decal Top Only Compatible with Microsoft Surface Pro 6 & Pro 7 - White Marble,Backpacks,https://m.media-amazon.com/images/I/31or1AeEKNL._AC_UL320_.jpg
Layfuz Multi-Purpose Fishing Tackle Bag Fishing Rod Sleeve Bag Pack Outdoor Camping Hiking Climbing Waist Bag Shoulder Bag...,Backpacks,https://m.media-amazon.com/images/I/61jFQINW55S._AC_UL320_.jpg
Mahetri 16 Inch Genuine Leather Backpack for Women and Mens Leather backpack and Leather laptop backpack for Women,Backpacks,https://m.media-amazon.com/images/I/815meLBlaaL._AC_UL320_.jpg
SPANGLE 30 Ltrs Multipurpose Laptop Backpack - Fits Up to 15.6-Inch Laptops for Men and Women,Backpacks,https://m.media-amazon.com/images/I/71dogPVcVyL._AC_UL320_.jpg
BBG Tank Bag,Backpacks,https://m.media-amazon.com/images/I/71NcjTQbK0L._AC_UL320_.jpg
Little Surprise Box Dino park 3 pcs Matching Backpack with Lunch Bag & Stationery Pouch,Backpacks,https://m.media-amazon.com/images/I/61b+CiY6ZIL._AC_UL320_.jpg
VOXX School Bag for K ids Plush Backpack Cartoon Toy | Children's Gifts Boy Girl Baby School Bag for Kids (MICKEY AND RABB...,Backpacks,https://m.media-amazon.com/images/I/51vHIdIugKL._AC_UL320_.jpg
"H-HEMES Small Bag for Daily Use 1 Compartment Mini Backpack 12 L Backpack (Black, Yellow)",Backpacks,https://m.media-amazon.com/images/I/812XQM4PasL._AC_UL320_.jpg
Generic Polyster Light Weight Laptop Bag 30 ltrs Laptop Backpack for Upto 15.6 inch Laptop-ALB_1XR00498,Backpacks,https://m.media-amazon.com/images/I/214-4z3kL8S._AC_UL320_.jpg
WARBLER BACKPACK BAG Cute Style female student Oxford Waterproof anti thief school bags backpack girls Daily backpack slin...,Backpacks,https://m.media-amazon.com/images/I/51InxHYPhlL._AC_UL320_.jpg
ALAZA Moon Sun Starry Night Backpack Purse for Women Travel Casual Daypack College Bookbag Work Business Ladies Shoulder Bag,Backpacks,https://m.media-amazon.com/images/I/61+ddf4SI5L._AC_UL320_.jpg
Layfuz Fishing Tackle Bag Water Resistant Fishing Storage Bag Crossbody Shoulder Bag Handbag with Removable Dividers,Backpacks,https://m.media-amazon.com/images/I/514s5JMjfWL._AC_UL320_.jpg
Generic Polyster Light Weight Laptop Bag 30 ltrs Laptop Backpack for Upto 15.6 inch Laptop-ALB_1XR00229,Backpacks,https://m.media-amazon.com/images/I/21TIbtNeqvS._AC_UL320_.jpg
Generic Polyster Light Weight Laptop Bag 30 ltrs Laptop Backpack for Upto 15.6 inch Laptop-ALB_1XR00383,Backpacks,https://m.media-amazon.com/images/I/21FU-P6oybS._AC_UL320_.jpg
Layfuz 50L Water Resistant Outdoor Sport Hiking Camping Travel Backpack Pack Mountaineering Climbing Backpacking Trekking ...,Backpacks,https://m.media-amazon.com/images/I/51HPty4dvCS._AC_UL320_.jpg
"POLESTAR Big3 38 Liters Casual/ School/ College/ Day light weight Backpack, made with polyester, 1 year warranty - Slogan ...",Backpacks,https://m.media-amazon.com/images/I/911fDxg63cL._AC_UL320_.jpg
VOXX School Bag for K ids Plush Backpack Cartoon Toy | Children's Gifts Boy Girl Baby School Bag for Kids (MICKEY AND HI G...,Backpacks,https://m.media-amazon.com/images/I/51o6ypUwv7L._AC_UL320_.jpg
Glaceon Backpack Large Capacity Casual Student School Bag Independent Shoe Storage Basketball Sport Backpack Mochila Yoga ...,Backpacks,https://m.media-amazon.com/images/I/51eJGdJemeL._AC_UL320_.jpg
"WILDHORN Laptop Backpack for Men I Waterproof I Laptop, Business College Travel Bookbags Fit 15.6 Inch Laptop",Backpacks,https://m.media-amazon.com/images/I/713-im79S0L._AC_UL320_.jpg
myaddiction Fishing Rod Butt Cushion Gimbal Fishing Fighting Belt Waist Holder Boat,Backpacks,https://m.media-amazon.com/images/I/41sxnhw641L._AC_UL320_.jpg
PUMA Evercat Hybrid Backpack,Backpacks,https://m.media-amazon.com/images/I/61nwLBK9OYL._AC_UL320_.jpg
Backpack For Women's/Girls,Backpacks,https://m.media-amazon.com/images/I/515MQvbcqJL._AC_UL320_.jpg
